start	end	text
3042000	3047000	2,000 GPUs, same 90 days, but this is the amazing part.
3047000	3050000	Only four megawatts of power.
3050000	3053000	So from 15, that's right.
3057000	3059000	And that's our goal.
3059000	3063000	Our goal is to continuously drive down the cost and the energy.
3063000	3065000	They're directly proportional to each other.
3065000	3069000	Cost and energy associated with the computing so that we can continue to expand
3069000	3073000	and scale up the computation that we have to do to train the next generation models.
3073000	3076000	Well, this is training.
3076000	3081000	Inference or generation is vitally important going forward.
3081000	3085000	You know, probably some half of the time that NVIDIA GPUs are in the cloud these days,
3085000	3087000	it's being used for token generation.
3087000	3091000	You know, they're either doing co-pilot this or, you know, chat GPT that
3091000	3095000	or all these different models that are being used when you're interacting with it
3095000	3101000	or generating images or generating videos, generating proteins, generating chemicals.
3101000	3104000	There's a bunch of generation going on.
3104000	3108000	All of that is in the category of computing we call inference.
3108000	3112000	But inference is extremely hard for large language models
3112000	3115000	because these large language models have several properties.
3115000	3117000	One, they're very large.
3117000	3119000	And so it doesn't fit on one GPU.
3119000	3124000	This is, imagine Excel doesn't fit on one GPU, you know?
3124000	3129000	And imagine some application you're running on a daily basis doesn't fit on one computer.
3129000	3132000	Like a video game doesn't fit on one computer.
3132000	3134000	And most, in fact, do.
3134000	3137000	And many times in the past, hyper-scale computing,
3137000	3140000	many applications for many people fit on the same computer.
3140000	3144000	And now, all of a sudden, this one inference application
3144000	3146000	where you're interacting with this chatbot,
3146000	3150000	that chatbot requires a supercomputer in the back to run it.
3150000	3152000	And that's the future.
3152000	3155000	The future is generative with these chatbots,
3155000	3159000	and these chatbots are trillions of tokens, trillions of parameters,
3159000	3163000	and they have to generate tokens at interactive rates.
3163000	3165000	Now, what does that mean?
3165000	3170000	Oh, well, three tokens is about a word.
3170000	3178000	You know, the space, the final frontier, these are the adventures.
3178000	3181000	That's like 80 tokens.
3181000	3183000	Okay?
3183000	3185000	I don't know if that's useful to you.
3185000	3195000	And so, you know, the art of communications is selecting good analogies.
3195000	3200000	Yeah, this is not going well.
3200000	3203000	Everyone's like, I don't know what he's talking about.
3203000	3205000	Never seen Star Trek.
3205000	3208000	And so, here we are, we're trying to generate these tokens.
3208000	3211000	When you're interacting with it, you're hoping that the tokens come back to you
3211000	3214000	as quickly as possible and as quickly as you can read it.
3214000	3217000	And so, the ability for generation tokens is really important.
3217000	3221000	You have to paralyze the work of this model across many, many GPUs
3221000	3223000	so that you could achieve several things.
3223000	3226000	One, on the one hand, you would like throughput
3226000	3233000	because that throughput reduces the cost, the overall cost per token of generating.
3233000	3238000	So, your throughput dictates the cost of delivering the service.
3238000	3241000	On the other hand, you have another interactive rate,
3241000	3244000	which is another tokens per second, where it's about per user.
3244000	3247000	And that has everything to do with quality of service.
3247000	3251000	And so, these two things compete against each other.
3251000	3256000	And we have to find a way to distribute work across all of these different GPUs
3256000	3259000	and paralyze it in a way that allows us to achieve both.
3259000	3263000	And it turns out the search space is enormous.
3263000	3267000	You know, I told you there's going to be math involved.
3267000	3270000	And everybody's going, oh, dear.
3270000	3273000	I heard some gasps just now when I put up that slide.
3273000	3279000	So, this right here, the y-axis is tokens per second, data center throughput.
3279000	3284000	The x-axis is tokens per second, interactivity of the person.
3284000	3286000	And notice the upper right is the best.
3286000	3291000	You want interactivity to be very high, number of tokens per second per user.
3291000	3294000	You want the tokens per second per data center to be very high.
3294000	3296000	The upper right is terrific.
3296000	3298000	However, it's very hard to do that.
3298000	3304000	And in order for us to search for the best answer across every single one of those intersections,
3304000	3308000	x, y coordinates, in case you just look at every single x, y coordinate,
3308000	3313000	all those blue dots came from some repartitioning of the software.
3313000	3322000	Some optimizing solution has to go and figure out whether to use tensor parallel, expert parallel,
3323000	3331000	pipeline parallel, or data parallel, and distribute this enormous model across all these different GPUs
3331000	3334000	and sustain the performance that you need.
3334000	3339000	This exploration space would be impossible if not for the programmability of NVIDIA's GPUs.
3339000	3343000	And so we could, because of CUDA, because we have such a rich ecosystem,
3343000	3348000	we could explore this universe and find that green roof line.
3348000	3354000	It turns out that green roof line, notice you got TP2EPADP4,
3354000	3363000	it means two tensor parallel, tensor parallel across two GPUs, expert parallel across eight, data parallel across four.
3363000	3368000	Notice on the other end, you got tensor parallel across four and expert parallel across 16.
3368000	3375000	The configuration, the distribution of that software, it's a different, different runtime
3375000	3378000	that would produce these different results.
3378000	3380000	And you have to go discover that roof line.
3380000	3382000	Well, that's just one model.
3382000	3385000	And this is just one configuration of a computer.
3385000	3388000	Imagine all of the models being created around the world
3388000	3394000	and all the different configurations of systems that are going to be available.
3396000	3399000	So now that you understand the basics,
3399000	3406000	let's take a look at inference of Blackwell compared to Hopper.
3406000	3409000	And this is the extraordinary thing.
3409000	3417000	In one generation, because we created a system that's designed for trillion parameter generative AI,
3417000	3421000	the inference capability of Blackwell is off the charts.
3421000	3425000	And in fact, it is some 30 times Hopper.
3425000	3426000	Yeah.
3431000	3437000	For large language models, for large language models like ChatGPT and others like it,
3437000	3439000	the blue line is Hopper.
3439000	3443000	I gave you, imagine we didn't change the architecture of Hopper.
3443000	3445000	We just made it a bigger chip.
3445000	3453000	We just used the latest, you know, greatest 10 terabytes, you know, terabytes per second.
3453000	3454000	We connected the two chips together.
3454000	3457000	We got this giant 208 billion parameter chip.
3457000	3460000	How would we have performed if nothing else changed?
3460000	3464000	And it turns out quite wonderfully, quite wonderfully.
3464000	3467000	And that's the purple line, but not as great as it could be.
3467000	3472000	And that's where the FP4 Tensor Core, the new transformer engine,
3472000	3476000	and very importantly, the NVLink switch.
3476000	3481000	And the reason for that is because all these GPUs have to share the results, partial products.
3481000	3486000	Whenever they do all to all, all gather, whenever they communicate with each other,
3486000	3492000	that NVLink switch is communicating almost 10 times faster
3492000	3496000	than what we could do in the past using the fastest networks.
3496000	3503000	Okay, so Blackwell is going to be just an amazing system for generative AI.
3503000	3510000	And in the future, in the future, data centers are going to be thought of,
3510000	3513000	as I mentioned earlier, as an AI factory.
3513000	3521000	An AI factory's goal in life is to generate revenues, generate, in this case,
3521000	3528000	intelligence in this facility, not generating electricity, as in AC generators,
3528000	3534000	but of the last industrial revolution and this industrial revolution, the generation of intelligence.
3534000	3538000	And so this ability is super, super important.
3538000	3541000	The excitement of Blackwell is really off the charts.
3541000	3547000	You know, when we first, when we first, you know, this is a year and a half ago,
3547000	3552000	two years ago, I guess two years ago, when we first started to go to market with Hopper,
3552000	3558000	you know, we had the benefit of two CSPs joined us in a lunch.
3558000	3560000	And we were, you know, delighted.
3560000	3564000	And so we had two customers.
3564000	3567000	So we have more now.
3579000	3583000	Unbelievable excitement for Blackwell, unbelievable excitement.
3583000	3585000	And there's a whole bunch of different configurations.
3585000	3590000	Of course, I showed you the configurations that slide into the Hopper form factor,
3590000	3592000	so that it's easy to upgrade.
3592000	3596000	I showed you examples that are liquid cooled, that are the extreme versions of it,
3596000	3601000	one entire rack that's connected by NVLink 72.
3601000	3608000	We're going to, Blackwell is going to be ramping to the world's AI companies,
3608000	3613000	of which there are so many now, doing amazing work in different modalities.
3613000	3617000	The CSPs, every CSP is geared up.
3617000	3626000	All the OEMs and ODMs, regional clouds, sovereign AIs, and telcos all over the world
3626000	3629000	are signing up to launch with Blackwell.
3636000	3642000	Blackwell would be the most successful product launch in our history.
3642000	3644000	And so I can't wait to see that.
3644000	3647000	I want to thank some partners that are joining us in this.
3647000	3650000	AWS is gearing up for Blackwell.
3650000	3654000	They're going to build the first GPU with secure AI.
3654000	3658000	They're building out a 222 exaflops system.
3658000	3662000	You know, just now when we animated, just now the digital twin,
3662000	3665000	if you saw all of those clusters coming down.
3665000	3668000	By the way, that is not just art.
3668000	3671000	That is a digital twin of what we're building.
3671000	3673000	That's how big it's going to be.
3673000	3676000	Besides infrastructure, we're doing a lot of things together with AWS.
3676000	3678000	We're CUDA accelerating SageMaker AI.
3678000	3681000	We're CUDA accelerating Bedrock AI.
3681000	3686000	Amazon Robotics is working with us using NVIDIA Omniverse and Isaac Sim.
3686000	3690000	AWS Health has NVIDIA Health integrated into it.
3690000	3695000	So AWS has really leaned into accelerated computing.
3695000	3697000	Google is gearing up for Blackwell.
3697000	3703000	GCP already has A100s, H100s, T4s, L4s, a whole fleet of NVIDIA CUDA GPUs.
3703000	3708000	And they recently announced the Gemma model that runs across all of it.
3708000	3713000	We're working to optimize and accelerate every aspect of GCP.
3713000	3717000	We're accelerating Dataproc for data processing, their data processing engine,
3717000	3722000	Jax, XLA, Vertex AI, and Mujoco for robotics.
3723000	3727000	So we're working with Google and GCP across a whole bunch of initiatives.
3727000	3729000	Oracle is gearing up for Blackwell.
3729000	3732000	Oracle is a great partner of ours for NVIDIA DGX Cloud.
3732000	3736000	And we're also working together to accelerate something that's really important
3736000	3739000	to a lot of companies, Oracle Database.
3739000	3744000	Microsoft is accelerating, and Microsoft is gearing up for Blackwell.
3744000	3747000	Microsoft and NVIDIA has a wide-ranging partnership.
3747000	3750000	We're accelerating CUDA, accelerating all kinds of services.
3750000	3755000	When you chat, obviously, and AI services that are in Microsoft Azure,
3755000	3758000	it's very, very likely NVIDIA is in the back doing the inference
3758000	3760000	and the token generation.
3760000	3764000	They built the largest NVIDIA InfiniBand supercomputer,
3764000	3768000	basically a digital twin of ours or a physical twin of ours.
3768000	3771000	We're bringing the NVIDIA ecosystem to Azure.
3771000	3773000	NVIDIA DGX Cloud to Azure.
3773000	3776000	NVIDIA Omniverse is now hosted in Azure.
3776000	3778000	NVIDIA Healthcare is in Azure.
3778000	3783000	All of it is deeply integrated and deeply connected with Microsoft Fabric.
3783000	3786000	The whole industry is gearing up for Blackwell.
3786000	3788000	This is what I'm about to show you.
3788000	3794000	Most of the scenes that you've seen so far of Blackwell
3794000	3799000	are the full fidelity design of Blackwell.
3799000	3802000	Everything in our company has a digital twin.
3802000	3807000	And, in fact, this digital twin idea is really spreading,
3807000	3812000	and it helps companies build very complicated things perfectly the first time.
3812000	3818000	And what could be more exciting than creating a digital twin
3818000	3821000	to build a computer that was built in a digital twin?
3821000	3824000	And so, let me show you what Wistron is doing.
3827000	3830000	To meet the demand for NVIDIA accelerated computing,
3830000	3833000	Wistron, one of our leading manufacturing partners,
3833000	3837000	is building digital twins of NVIDIA DGX and HGX factories
3837000	3843000	using custom software developed with Omniverse, SDKs, and APIs.
3843000	3846000	For their newest factory, Wistron started with the digital twin
3846000	3852000	to virtually integrate their multi-CAD and process simulation data into a unified view.
3852000	3856000	Testing and optimizing layouts in this physically accurate digital environment
3856000	3860000	increased worker efficiency by 51%.
3860000	3864000	During construction, the Omniverse digital twin was used to verify
3864000	3867000	that the physical build matched the digital plans.
3867000	3872000	Identifying any discrepancies early has helped avoid costly change orders.
3872000	3874000	And the results have been impressive.
3874000	3878000	Using a digital twin helped bring Wistron's factory online in half the time,
3878000	3881000	just two and a half months instead of five.
3881000	3886000	In operation, the Omniverse digital twin helps Wistron rapidly test new layouts
3886000	3890000	to accommodate new processes or improve operations in the existing space,
3890000	3897000	and monitor real-time operations using live IoT data from every machine on the production line,
3897000	3905000	which ultimately enabled Wistron to reduce end-to-end cycle times by 50% and defect rates by 40%.
3905000	3909000	With NVIDIA AI and Omniverse, NVIDIA's global ecosystem of partners
3909000	3914000	are building a new era of accelerated AI-enabled digitalization.
3916000	3924000	That's the way it's going to be in the future.
3924000	3926000	We're going to be manufacturing everything digitally first,
3926000	3928000	and then we'll manufacture it physically.
3928000	3931000	People ask me, how did it start?
3931000	3934000	What got you guys so excited?
3934000	3941000	What was it that you saw that caused you to put it all in
3942000	3946000	on this incredible idea?
3946000	3951000	And it's this.
3951000	3958000	Hang on a second.
3958000	3963000	Guys, that was going to be such a moment.
3963000	3968000	That's what happens when you don't rehearse.
3968000	3974000	This, as you know, was first contact.
3974000	3977000	2012, AlexNet.
3977000	3986000	You put a cat into this computer, and it comes out and it says, cat.
3986000	3993000	And we said, oh, my God, this is going to change everything.
3994000	4001000	You take one million numbers across three channels, RGB.
4001000	4004000	These numbers make no sense to anybody.
4004000	4009000	You put it into this software, and it compress, it dimensionally
4009000	4010000	reduces it.
4010000	4014000	It reduces it from a million dimensions, a million dimensions.
4014000	4021000	It turns it into three letters, one vector, one number.
4022000	4024000	And it's generalized.
4024000	4029000	You could have the cat be different cats.
4029000	4034000	And you could have it be the front of the cat and the back of the cat.
4034000	4037000	And you look at this thing, you say, unbelievable.
4037000	4039000	You mean any cats?
4039000	4043000	Yeah, any cat.
4043000	4046000	And it was able to recognize all these cats.
4046000	4048000	And we realized how it did it.
4048000	4054000	It systematically, structurally, it's scalable.
4054000	4056000	How big can you make it?
4056000	4058000	Well, how big do you want to make it?
4058000	4064000	And so we imagine that this is a completely new way of writing software.
4064000	4070000	And now today, as you know, you can have, you type in the word C-A-T.
4070000	4074000	And what comes out is a cat.
4074000	4076000	It went the other way.
4076000	4078000	Am I right?
4078000	4080000	Unbelievable.
4080000	4082000	How is it possible?
4082000	4083000	That's right.
4083000	4089000	How is it possible you took three letters and you generated a million pixels from it?
4089000	4091000	And it made sense.
4091000	4093000	Well, that's the miracle.
4093000	4100000	And here we are, just literally 10 years later, 10 years later, where we recognize text,
4100000	4104000	we recognize images, we recognize videos and sounds and images.
4104000	4108000	Not only do we recognize them, we understand their meaning.
4108000	4110000	We understand the meaning of the text.
4110000	4112000	That's the reason why it can chat with you.
4112000	4114000	It can summarize for you.
4114000	4116000	It understands the text.
4116000	4120000	It understood not just recognizes the English, it understood the English.
4120000	4124000	It doesn't just recognize the pixels, it understood the pixels.
4124000	4127000	And you can even condition it between two modalities.
4127000	4132000	You can have language condition image and generate all kinds of interesting things.
4132000	4138000	Well, if you can understand these things, what else can you understand that you've digitized?
4138000	4142000	The reason why we started with text and images is because we digitized those.
4142000	4144000	But what else have we digitized?
4144000	4151000	Well, it turns out we digitized a lot of things, proteins and genes and brain waves.
4151000	4156000	Anything you can digitize, so long as there's structure, we can probably learn some patterns from it.
4156000	4159000	And if we can learn the patterns from it, we can understand its meaning.
4159000	4163000	If we can understand its meaning, we might be able to generate it as well.
4163000	4167000	And so therefore, the generative AI revolution is here.
4167000	4169000	Well, what else can we generate?
4169000	4170000	What else can we learn?
4170000	4178000	Well, one of the things that we would love to learn, we would love to learn, is we would love to learn climate.
4178000	4181000	We would love to learn extreme weather.
4181000	4190000	We would love to learn how we can predict future weather at regional scales,
4190000	4197000	at sufficiently high resolution, such that we can keep people out of harm's way before harm comes.
4197000	4200000	Extreme weather cost the world $150 billion.
4200000	4204000	Surely more than that, it's not evenly distributed.
4204000	4209000	$150 billion is concentrated in some parts of the world and, of course, to some people of the world.
4209000	4212000	We need to adapt and we need to know what's coming.
4212000	4218000	And so we're creating Earth 2, a digital twin of the Earth for predicting weather.
4218000	4223000	And we've made an extraordinary invention called CoreDiv,
4223000	4228000	the ability to use generative AI to predict weather at extremely high resolution.
4228000	4229000	Let's take a look.
4231000	4233000	As the Earth's climate changes,
4233000	4238000	AI-powered weather forecasting is allowing us to more accurately predict and track severe storms,
4238000	4245000	like super typhoon Chanthu, which caused widespread damage in Taiwan and the surrounding region in 2021.
4245000	4249000	Current AI forecast models can accurately predict the track of storms,
4249000	4254000	but they are limited to 25-kilometer resolution, which can miss important details.
4254000	4258000	NVIDIA's CoreDiv is a revolutionary new generative AI model,
4258000	4265000	trained on high-resolution radar-assimilated wolf weather forecasts and AERA 5 reanalysis data.
4265000	4272000	Using CoreDiv, extreme events like Chanthu can be super resolved from 25-kilometer to 2-kilometer resolution,
4272000	4278000	with 1,000 times the speed and 3,000 times the energy efficiency of conventional weather models.
4278000	4283000	By combining the speed and accuracy of NVIDIA's weather forecasting model ForecastNet
4283000	4285000	and generative AI models like CoreDiv,
4285000	4290000	we can explore hundreds or even thousands of kilometer-scale regional weather forecasts
4290000	4295000	to provide a clear picture of the best, worst and most likely impacts of a storm.
4295000	4300000	This wealth of information can help minimize loss of life and property damage.
4300000	4303000	Today, CoreDiv is optimized for Taiwan,
4303000	4310000	but soon generative supersampling will be available as part of the NVIDIA Earth2 inference service for many regions across the globe.
4321000	4326000	The weather company has to trust the source of global weather prediction.
4326000	4332000	We are working together to accelerate their weather simulation, first principled base of simulation.
4332000	4336000	However, they're also going to integrate Earth2 CoreDiv
4336000	4342000	so that they can help businesses and countries do regional high-resolution weather prediction.
4342000	4347000	And so if you have some weather prediction you'd like to do, reach out to the weather company.
4347000	4349000	Really exciting, really exciting work.
4349000	4352000	NVIDIA Healthcare, something we started 15 years ago.
4352000	4354000	We're super, super excited about this.
4354000	4357000	This is an area where we're very, very proud.
4357000	4362000	Whether it's medical imaging or gene sequencing or computational chemistry,
4362000	4366000	it is very likely that NVIDIA is the computation behind it.
4366000	4369000	We've done so much work in this area.
4369000	4374000	Today we're announcing that we're going to do something really, really cool.
4374000	4383000	Imagine all of these AI models that are being used to generate images and audio.
4383000	4387000	But instead of images and audio, because it understood images and audio,
4387000	4392000	all the digitization that we've done for genes and proteins and amino acids,
4392000	4398000	that digitization capability is now passed through machine learning
4398000	4401000	so that we understand the language of life.
4401000	4408000	The ability to understand the language of life, of course, we saw the first evidence of it with AlphaFold.
4408000	4410000	This is really quite an extraordinary thing.
4410000	4418000	After decades of painstaking work, the world had only digitized and reconstructed
4418000	4423000	using cryo-electron microscopy or x-ray crystallography.
4423000	4428000	These different techniques painstakingly reconstructed the protein, 200,000 of them,
4429000	4432000	in just less than a year or so.
4432000	4437000	AlphaFold has reconstructed 200 million proteins,
4437000	4442000	basically every living thing that's ever been sequenced.
4442000	4444000	This is completely revolutionary.
4444000	4450000	Those models are incredibly hard for people to build,
4450000	4452000	and so what we're going to do is we're going to build them.
4452000	4456000	We're going to build them for the researchers around the world.
4456000	4457000	It won't be the only one.
4457000	4459000	There will be many other models that we create.
4459000	4462000	Let me show you what we're going to do with it.
4467000	4471000	Virtual screening for new medicines is a computationally intractable problem.
4471000	4475000	Existing techniques can only scan billions of compounds
4475000	4480000	and require days on thousands of standard compute nodes to identify new drug candidates.
4481000	4486000	NVIDIA BioNemo NIMs enable a new generative screening paradigm.
4486000	4489000	Using NIMs for protein structure prediction with AlphaFold,
4489000	4493000	molecule generation with MolMIM, and docking with DiffDock,
4493000	4498000	we can now generate and screen candidate molecules in a matter of minutes.
4498000	4502000	MolMIM can connect to custom applications to steer the generative process,
4502000	4506000	iteratively optimizing for desired properties.
4506000	4512000	These applications can be defined with BioNemo microservices or built from scratch.
4512000	4518000	Here, a physics-based simulation optimizes for a molecule's ability to bind to a target protein
4518000	4522000	while optimizing for other favorable molecular properties in parallel.
4522000	4528000	MolMIM generates high-quality drug-like molecules that bind to the target and are synthesizable,
4528000	4534000	translating to a higher probability of developing successful medicines faster.
4534000	4538000	BioNemo is enabling a new paradigm in drug discovery with NIMs,
4538000	4544000	providing on-demand microservices that can be combined to build powerful drug discovery workflows
4544000	4550000	like de novo protein design or guided molecule generation for virtual screening.
4550000	4556000	BioNemo NIMs are helping researchers and developers reinvent computational drug design.
4556000	4561000	NVIDIA MOLMIM
4561000	4567000	NVIDIA MOLMIM, MOLMIM, CoreDiff, there's a whole bunch of other models,
4567000	4572000	a whole bunch of other models, computer vision models, robotics models,
4572000	4578000	and even, of course, some really, really terrific open-source language models.
4578000	4584000	These models are groundbreaking. However, it's hard for companies to use.
4584000	4588000	How would you use it? How would you bring it into your company and integrate it into your workflow?
4588000	4590000	How would you package it up and run it?
4590000	4596000	Remember, earlier I just said that inference is an extraordinary computation problem.
4596000	4601000	How would you do the optimization for each and every one of these models
4601000	4605000	and put together the computing stack necessary to run that supercomputer
4605000	4609000	so that you can run these models in your company?
4609000	4613000	And so we have a great idea. We're going to invent a new way,
4613000	4619000	invent a new way for you to receive and operate software.
4619000	4626000	This software comes basically in a digital box. We call it a container.
4626000	4631000	And we call it the NVIDIA Inference Microservice, a NIM.
4631000	4634000	And let me explain to you what it is.
4634000	4638000	A NIM. It's a pre-trained model, so it's pretty clever.
4638000	4645000	And it is packaged and optimized to run across NVIDIA's installed base, which is very, very large.
4645000	4648000	What's inside it is incredible.
4648000	4652000	You have all these pre-trained state-of-the-art open-source models.
4652000	4654000	They could be open-source. They could be from one of our partners.
4654000	4657000	It could be created by us, like NVIDIA Moment.
4657000	4660000	It is packaged up with all of its dependencies.
4660000	4664000	So CUDA, the right version, CUDNN, the right version,
4664000	4669000	TensorFlow RT, LLM, distributing across the multiple GPUs, Triton Inference Server,
4669000	4672000	all completely packaged together.
4672000	4678000	It's optimized depending on whether you have a single GPU, multi-GPU, or multi-node of GPUs.
4678000	4680000	It's optimized for that.
4680000	4683000	And it's connected up with APIs that are simple to use.
4683000	4687000	Now, think about what an AI API is.
4687000	4692000	An AI API is an interface that you just talk to.
4692000	4696000	And so this is a piece of software in the future that has a really simple API,
4696000	4698000	and that API is called Human.
4698000	4702000	And these packages, incredible bodies of software,
4702000	4707000	will be optimized and packaged, and we'll put it on a website.
4707000	4710000	And you can download it. You can take it with you.
4710000	4714000	You can run it in any cloud. You can run it in your own data center.
4714000	4716000	You can run it in workstations if it fit.
4716000	4719000	And all you have to do is come to ai.nvidia.com.
4719000	4722000	We call it NVIDIA Inference Microservice,
4722000	4725000	but inside the company we all call it NIMS.
4725000	4727000	Okay?
4733000	4739000	Just imagine, you know, one day there's going to be one of these chatbots,
4739000	4742000	and these chatbots is going to just be in a NIM.
4742000	4746000	And you'll assemble a whole bunch of chatbots.
4746000	4749000	And that's the way software is going to be built someday.
4749000	4751000	How do we build software in the future?
4751000	4754000	It is unlikely that you'll write it from scratch
4754000	4757000	or write a whole bunch of Python code or anything like that.
4757000	4761000	It is very likely that you assemble a team of AIs.
4761000	4764000	There's probably going to be a super AI that you use
4764000	4767000	that takes the mission that you give it
4767000	4770000	and breaks it down into an execution plan.
4770000	4774000	Some of that execution plan could be handed off to another NIM.
4774000	4778000	That NIM would maybe understand SAP.
4778000	4781000	The language of SAP is ABAP.
4781000	4783000	It might understand ServiceNow
4783000	4786000	and go retrieve some information from their platforms.
4786000	4789000	It might then hand that result to another NIM
4789000	4792000	who goes off and does some calculation on it.
4792000	4794000	Maybe it's an optimization software,
4794000	4798000	a combinatorial optimization algorithm.
4798000	4802000	Maybe it's, you know, just some basic calculator.
4802000	4806000	Maybe it's Pandas to do some numerical analysis on it.
4806000	4809000	And then it comes back with its answer.
4809000	4812000	And it gets combined with everybody else's.
4812000	4814000	And because it's been presented with
4814000	4817000	this is what the right answer should look like,
4817000	4820000	it knows what right answers to produce,
4820000	4822000	and it presents it to you.
4822000	4825000	We can get a report every single day, you know, top of the hour,
4825000	4828000	that has something to do with a build plan or some forecast
4828000	4831000	or some customer alert or some bugs database
4831000	4833000	or whatever it happens to be,
4833000	4836000	and we could assemble it using all these NIMs.
4836000	4838000	And because these NIMs have been packaged up
4838000	4841000	and ready to work on your systems,
4841000	4844000	so long as you have NVIDIA GPUs in your data center or in the cloud,
4844000	4849000	these NIMs will work together as a team and do amazing things.
4849000	4852000	And so we decided, this is such a great idea,
4852000	4854000	we're going to go do that.
4854000	4857000	And so NVIDIA has NIMs running all over the company.
4857000	4860000	We have chatbots being created all over the place,
4860000	4863000	and one of the most important chatbots, of course,
4863000	4865000	is a chip designer chatbot.
4865000	4867000	You might not be surprised.
4867000	4869000	We care a lot about building chips.
4869000	4872000	And so we want to build chatbots,
4872000	4877000	AI copilots that are co-designers with our engineers.
4877000	4879000	And so this is the way we did it.
4879000	4882000	So we got ourselves a Llama 2.
4882000	4886000	This is a 70B, and it's packaged up in a NIM.
4886000	4891000	We asked it, you know, what is a CTL?
4891000	4895000	It turns out CTL is an internal program,
4895000	4897000	and it has an internal proprietary language,
4897000	4900000	but it thought the CTL was a combinatorial timing logic,
4900000	4903000	and so it describes conventional knowledge of CTL,
4903000	4906000	but that's not very useful to us.
4906000	4910000	And so we gave it a whole bunch of new examples.
4910000	4914000	This is no different than onboarding an employee.
4914000	4916000	And we say, you know, thanks for that answer.
4916000	4918000	It's completely wrong.
4918000	4923000	And then we present to them, this is what a CTL is, okay?
4923000	4926000	And so this is what a CTL is at NVIDIA.
4926000	4929000	And the CTL, as you can see, you know, CTL stands for
4929000	4932000	Compute Trace Library, which makes sense.
4932000	4935000	You know, we're tracing compute cycles all the time,
4935000	4937000	and it wrote the program.
4937000	4939000	Isn't that amazing?
4939000	4942000	And so the productivity of our chip designers can go up.
4942000	4944000	This is what you can do with a NIM.
4944000	4946000	First thing you can do with it is customize it.
4946000	4948000	We have a service called NEMO Microservice
4948000	4950000	that helps you curate the data,
4950000	4954000	preparing the data so that you can teach this onboard this AI.
4954000	4957000	You fine-tune them, and then you guardrail it.
4957000	4959000	You can even evaluate the answer,
4959000	4962000	evaluate its performance against other examples.
4962000	4965000	And so that's called the NIM.
4965000	4967000	Now, the thing that's emerging here is this.
4967000	4970000	There are three elements, three pillars of what we're doing.
4970000	4972000	The first pillar is, of course,
4972000	4975000	inventing the technology for AI models
4975000	4978000	and running AI models and packaging it up for you.
4978000	4982000	The second is to create tools to help you modify it.
4982000	4984000	First is having the AI technology.
4984000	4986000	Second is to help you modify it.
4986000	4989000	And third is infrastructure for you to fine-tune it
4989000	4991000	and evaluate it.
4991000	4993000	And then finally, the third pillar,
4993000	4995000	infrastructure for you to fine-tune it
4995000	4997000	and, if you like, deploy it.
4997000	5000000	You could deploy it on our infrastructure called DGX Cloud,
5000000	5002000	or you could deploy it on-prem.
5002000	5004000	You could deploy it anywhere you like.
5004000	5007000	Once you develop it, it's yours to take anywhere.
5007000	5011000	And so we are effectively an AI foundry.
5011000	5015000	We will do for you and the industry on AI
5015000	5017000	what TSMC does for us, building chips.
5017000	5021000	And so we go to TSMC with our big ideas.
5021000	5023000	We manufacture it, and we take it with us.
5023000	5025000	And so exactly the same thing here.
5025000	5028000	AI foundry, and the three pillars are the NIMS,
5028000	5031000	NEMO Microservice, and DGX Cloud.
5031000	5033000	The other thing that you could teach the NIMP to do
5033000	5036000	is to understand your proprietary information.
5036000	5038000	Remember, inside our company,
5038000	5040000	the vast majority of our data is not in the cloud.
5040000	5042000	It's inside our company.
5042000	5045000	It's been sitting there, you know, being used all the time,
5045000	5049000	and, gosh, it's basically NVIDIA's intelligence.
5049000	5054000	We would like to take that data, learn its meaning,
5054000	5056000	like we learned the meaning of almost anything else
5056000	5057000	that we just talked about.
5057000	5061000	Learn its meaning, and then re-index that knowledge
5061000	5065000	into a new type of database called a vector database.
5065000	5067000	And so you essentially take structured data
5067000	5070000	or unstructured data, you learn its meaning,
5070000	5074000	you encode its meaning, so now this becomes an AI database,
5074000	5078000	and that AI database, in the future, once you create it,
5078000	5079000	you can talk to it.
5079000	5081000	And so let me give you an example of what you could do.
5081000	5085000	So suppose you've got a whole bunch of multimodality data,
5085000	5087000	and one good example of that is PDF.
5087000	5091000	So you take the PDF, you take all of your PDFs,
5091000	5095000	all your favorite, you know, the stuff that is proprietary to you,
5095000	5098000	critical to your company, you can encode it.
5098000	5101000	Just as we encoded pixels of a cat,
5101000	5104000	and it becomes the word cat, we can encode all of your PDF,
5104000	5108000	and it turns into vectors that are now stored
5108000	5109000	inside your vector database.
5109000	5112000	It becomes the proprietary information of your company.
5112000	5114000	And once you have that proprietary information,
5114000	5116000	you can chat to it.
5116000	5120000	It's a smart database, so you just chat with data.
5120000	5122000	And how much more enjoyable is that?
5122000	5126000	You know, for our software team,
5126000	5130000	they just chat with the bugs database, you know?
5130000	5132000	How many bugs was there last night?
5132000	5134000	Are we making any progress?
5134000	5138000	And then after you're done talking to this bugs database,
5138000	5140000	you need therapy.
5140000	5143000	And so we have another chat bot for you.
5147000	5149000	You can do it.
5158000	5160000	Okay, so we call this Nemo Retriever,
5160000	5162000	and the reason for that is because ultimately its job
5162000	5165000	is to go retrieve information as quickly as possible.
5165000	5166000	And you just talk to it.
5166000	5167000	Hey, retrieve me this information,
